ch_name,x,y,z,nonzero_loc
Fp1,-0.0309025883324255,0.114585178792428,0.0278665743290891,True
Fp2,0.0284094953376247,0.1153463099016421,0.0277212577225258,True
F7,-0.0718766250591726,0.0731035274267087,0.0257904558789133,True
F3,-0.0518090384118372,0.0866878988828794,0.0787140930288338,True
Fz,-0.0012292711615662,0.0932744520002971,0.1026392934768164,True
F4,0.0502742777316287,0.0874383891023979,0.0772706543423419,True
F8,0.0714352692515091,0.0745051264780813,0.0251010273931771,True
FC5,-0.078905976355393,0.0513673841923906,0.062962347939219,True
FC1,-0.0357158603788383,0.0617140598410554,0.1179830153773534,True
FC2,0.0331309823708177,0.0618284860618305,0.1167816981344542,True
FC6,0.0778466192866476,0.0520988112003626,0.0628671062892525,True
T7,-0.0859820779580572,0.0148716381756522,0.0311733737390446,True
C3,-0.0671487229331174,0.0233582305374462,0.1045106810602483,True
Cz,-0.001374133402819,0.0276170935951027,0.1401994941743955,True
C4,0.0653288807183854,0.0235731049615695,0.1036924342004765,True
T8,0.0832613698575949,0.0152581892786813,0.0309729685240599,True
TP9,-0.0875558333615159,-0.0176290221064385,-0.0034024089114879,True
CP5,-0.0815135111086369,-0.0133456938142221,0.073132627123673,True
CP1,-0.037425125417493,-0.0108242377168398,0.1334437115718413,True
CP2,0.0364719595752411,-0.0109037915029324,0.1328122726312171,True
CP6,0.0814011077241348,-0.0134620426348679,0.0733636700386129,True
TP10,0.0842221994729466,-0.0187690795738984,-0.003534771527957,True
P7,-0.0744579645234785,-0.0421231649585057,0.0412736313873812,True
P3,-0.0550382318026169,-0.0442103046623408,0.0999089769220087,True
Pz,-0.0017094450467468,-0.045212993324122,0.1266729241820962,True
P4,0.0536360154633751,-0.0443345218550768,0.100516027732151,True
P8,0.0710324708890221,-0.0422599760120952,0.0411988627819509,True
PO9,-0.057028186420241,-0.0686054001769245,0.0097410936949582,True
O1,-0.031573557874656,-0.0805683521266366,0.0547896456240476,True
Oz,-0.0020602461029908,-0.0827829905012281,0.0607366306077357,True
O2,0.0276831005596241,-0.0804888398093647,0.0547340814777941,True
PO10,0.0528689394266313,-0.0690468988379792,0.0096677720748646,True
FC3,-0.0618523370812075,0.057133285360774,0.0937658288295215,True
FC4,0.0606254818027807,0.0577074204573866,0.09379461804488,True
C5,-0.0820852987312573,0.0192936275710021,0.0694896677281867,True
C1,-0.0379378238347659,0.0263374518138683,0.1297706088883019,True
C2,0.0358927169202255,0.0263581382780015,0.1284123409716108,True
C6,0.0816531693806215,0.0196956594172963,0.0694818071055663,True
CP3,-0.0654722335209587,-0.0118966034187873,0.1077779200422663,True
CPz,-0.0015249049095034,-0.0105183763851922,0.1415491439762969,True
CP4,0.0646962550518006,-0.0119911751536162,0.1077128709239866,True
P1,-0.0306536167121489,-0.0449273871112134,0.119472045379713,True
P2,0.0298863936729451,-0.0450325421101184,0.1207478150702511,True
POz,-0.0018998244298945,-0.0680540991659074,0.0959099993612433,True
FT9,-0.0857965416252297,0.043081704721957,-0.0115756758384449,True
FTT9h,-0.0858997725096574,0.0278627948817394,0.0099556769199206,True
TTP7h,-0.087433820180229,0.0014509413497818,0.0524667918233547,True
TP7,-0.086757277911408,-0.0149509771539446,0.0351586561590979,True
TPP9h,-0.0801430448567891,-0.0306354722778894,0.019251944746027,True
FT10,0.0823906541082524,0.0422749149532637,-0.0116731284978807,True
FTT10h,0.0823473323954013,0.0273114128479462,0.0101091520989286,True
TPP8h,0.0765445378710539,-0.0287893534426357,0.0559005530553735,True
TP8,0.0836223227794757,-0.0150856698771637,0.0350576968347859,True
TPP10h,0.076918161242073,-0.0313914385157219,0.0192820668155141,True
F9,-0.0717263310342385,0.0701003712390121,-0.0126331706728094,True
F10,0.0704901413044091,0.0699798475804217,-0.0131559188806549,True
AF7,-0.0563606583560515,0.0991515173379746,0.0251412895150955,True
AF3,-0.0351860074675383,0.109129565094819,0.0564392147117848,True
AF4,0.0342298581732583,0.1098112720868275,0.0571166743235248,True
AF8,0.0542254619947766,0.0998316203023537,0.0249150717017744,True
PO3,-0.0386246015258554,-0.0673615830694722,0.0824155526520823,True
PO4,0.0346677933222825,-0.0676621359803973,0.0816465293913252,True
