ch_name,x,y,z,nonzero_loc
Fp1,-0.0309025883324255,0.114585178792428,0.0278665743290891,True
AF7,-0.0563606583560515,0.0991515173379746,0.0251412895150955,True
AF3,-0.0351860074675383,0.109129565094819,0.0564392147117848,True
F1,-0.0290439471598125,0.0914484772511269,0.0966186502944204,True
F3,-0.0518090384118372,0.0866878988828794,0.0787140930288338,True
F5,-0.0660540834700159,0.0802397792090382,0.0537710792746283,True
F7,-0.0718766250591726,0.0731035274267087,0.0257904558789133,True
FT7,-0.0824893108900204,0.0448487380670451,0.0276805846541908,True
FC5,-0.078905976355393,0.0513673841923906,0.062962347939219,True
FC3,-0.0618523370812075,0.057133285360774,0.0937658288295215,True
FC1,-0.0357158603788383,0.0617140598410554,0.1179830153773534,True
C1,-0.0379378238347659,0.0263374518138683,0.1297706088883019,True
C3,-0.0671487229331174,0.0233582305374462,0.1045106810602483,True
C5,-0.0820852987312573,0.0192936275710021,0.0694896677281867,True
T7,-0.0859820779580572,0.0148716381756522,0.0311733737390446,True
TP7,-0.086757277911408,-0.0149509771539446,0.0351586561590979,True
CP5,-0.0815135111086369,-0.0133456938142221,0.073132627123673,True
CP3,-0.0654722335209587,-0.0118966034187873,0.1077779200422663,True
CP1,-0.037425125417493,-0.0108242377168398,0.1334437115718413,True
P1,-0.0306536167121489,-0.0449273871112134,0.119472045379713,True
P3,-0.0550382318026169,-0.0442103046623408,0.0999089769220087,True
P5,-0.0692998403325105,-0.0432269738552173,0.0722538024565441,True
P7,-0.0744579645234785,-0.0421231649585057,0.0412736313873812,True
P9,-0.0750418537016316,-0.0446143335681009,0.002842148832062,True
PO7,-0.0569486211445929,-0.0659232464205197,0.0479074380219912,True
PO3,-0.0386246015258554,-0.0673615830694722,0.0824155526520823,True
O1,-0.031573557874656,-0.0805683521266366,0.0547896456240476,True
Iz,-0.002184015769439,-0.0885864837212642,0.0232701667323554,True
Oz,-0.0020602461029908,-0.0827829905012281,0.0607366306077357,True
POz,-0.0018998244298945,-0.0680540991659074,0.0959099993612433,True
Pz,-0.0017094450467468,-0.045212993324122,0.1266729241820962,True
CPz,-0.0015249049095034,-0.0105183763851922,0.1415491439762969,True
Fpz,-0.0013373295593324,0.1191017959205978,0.0328899036407685,True
Fp2,0.0284094953376247,0.1153463099016421,0.0277212577225258,True
AF8,0.0542254619947766,0.0998316203023537,0.0249150717017744,True
AF4,0.0342298581732583,0.1098112720868275,0.0571166743235248,True
AFz,-0.001237382073933,0.1137399335780541,0.0703836639827027,True
Fz,-0.0012292711615662,0.0932744520002971,0.1026392934768164,True
F2,0.0279679132001378,0.0918699657493447,0.0957799183753127,True
F4,0.0502742777316287,0.0874383891023979,0.0772706543423419,True
F6,0.0663313416886954,0.0815289669916695,0.0531162793800564,True
F8,0.0714352692515091,0.0745051264780813,0.0251010273931771,True
FT8,0.0801043271005843,0.0455535822438567,0.0274123906137976,True
FC6,0.0778466192866476,0.0520988112003626,0.0628671062892525,True
FC4,0.0606254818027807,0.0577074204573866,0.09379461804488,True
FC2,0.0331309823708177,0.0618284860618305,0.1167816981344542,True
FCz,-0.0012714263028658,0.0634597921290682,0.126571983842371,True
Cz,-0.001374133402819,0.0276170935951027,0.1401994941743955,True
C2,0.0358927169202255,0.0263581382780015,0.1284123409716108,True
C4,0.0653288807183854,0.0235731049615695,0.1036924342004765,True
C6,0.0816531693806215,0.0196956594172963,0.0694818071055663,True
T8,0.0832613698575949,0.0152581892786813,0.0309729685240599,True
TP8,0.0836223227794757,-0.0150856698771637,0.0350576968347859,True
CP6,0.0814011077241348,-0.0134620426348679,0.0733636700386129,True
CP4,0.0646962550518006,-0.0119911751536162,0.1077128709239866,True
CP2,0.0364719595752411,-0.0109037915029324,0.1328122726312171,True
P2,0.0298863936729451,-0.0450325421101184,0.1207478150702511,True
P4,0.0536360154633751,-0.0443345218550768,0.100516027732151,True
P6,0.0658606193621829,-0.0433385154006065,0.071941308626881,True
P8,0.0710324708890221,-0.0422599760120952,0.0411988627819509,True
P10,0.0718589547902481,-0.0457731194207473,0.0026557864110893,True
PO8,0.053557322892856,-0.0664169368853262,0.0478509758504668,True
PO4,0.0346677933222825,-0.0676621359803973,0.0816465293913252,True
O2,0.0276831005596241,-0.0804888398093647,0.0547340814777941,True
